scene_name,local_class,candidate_global_person_id,split,reid_split,approved,manual_name_or_id,notes
footpath1_1walk_1stand_st_11_12_2024_1_label,01,person_01,train,reserved_test,0,person_01,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_1walk_1stand_st_11_12_2024_1_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_2walk+talk_st_11_12_2024_b_label,01,person_01,train,reserved_test,0,person_01,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_2walk+talk_st_11_12_2024_b_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_2walk+talk_st_11_12_2024_c_label,01,person_01,train,reserved_test,0,person_01,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_2walk+talk_st_11_12_2024_c_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_p1_ht+mk+gl_1walk+check_st_11_12_2024_1_label,01,person_01,train,reserved_test,0,person_01,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_p1_oj+mk+gl_1walk_mv_11_12_2024_1_label,01,person_01,train,reserved_test,0,person_01,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_p1_sc+mk+gl_1walk_st_11_12_2024_1_label,01,person_01,train,reserved_test,0,person_01,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_p1_yj+mk+gl_1walk+check_mv_11_12_2024_1_label,01,person_01,train,reserved_test,0,person_01,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_p1_yj+mk+gl_1walk+check_st_11_12_2024_1_label,01,person_01,train,reserved_test,0,person_01,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_p2_nj+gl_1walk+check_st_11_12_2024_1_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_p2_nj+gl_1walk_mv_11_12_2024_1_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_p2_oj+gl_1walk+check_st_11_12_2024_1_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_p2_yj+gl_1walk+check_st_11_12_2024_1_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath1_p2_yj+gl_1walk_mv_11_12_2024_1_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_1walk_st_11_20_2024_2_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk+opendoor_mv_ly_11_20_2024_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk+opendoor_mv_ly_11_20_2024_label,05,person_05,train,reserved_test,0,person_05,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk+stand_mv_11_20_2024_1_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk+stand_mv_11_20_2024_1_label,05,person_05,train,reserved_test,0,person_05,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk+stand_mv_11_20_2024_2_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk+stand_mv_11_20_2024_2_label,05,person_05,train,reserved_test,0,person_05,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk_mv_11_20_2024_a_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk_mv_11_20_2024_a_label,05,person_05,train,reserved_test,0,person_05,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk_mv_11_20_2024_b_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk_mv_11_20_2024_b_label,05,person_05,train,reserved_test,0,person_05,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk_mv_ly_11_20_2024_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk_mv_ly_11_20_2024_label,05,person_05,train,reserved_test,0,person_05,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk_st_11_20_2024_label,01,person_01,train,reserved_test,0,person_01,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_2walk_st_11_20_2024_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_3walk_st_11_20_2024_label,01,person_01,train,reserved_test,0,person_01,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_3walk_st_11_20_2024_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
footpath2_3walk_st_11_20_2024_label,05,person_05,train,reserved_test,0,person_05,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
in_straw_1pick_2push_diff_st_10_31_2024_1_label,01,person_01,train,reserved_test,0,person_01,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
in_straw_1pick_2push_diff_st_10_31_2024_1_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
in_straw_1pick_2push_diff_st_10_31_2024_1_label,06,person_06,train,reserved_test,0,person_06,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
in_straw_1pick_st_10_31_2024_1_label,06,person_06,train,reserved_test,0,person_06,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
in_straw_1push+pick_same_mv_10_31_2024_1_label,06,person_06,train,reserved_test,0,person_06,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
in_straw_1walk_mv_11_20_2024_3_label,02,person_02,train,reserved_test,0,person_02,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
in_straw_2pick_diff_mv_10_10_2024_2_a_label,06,person_06,train,reserved_test,0,person_06,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
in_straw_2pick_diff_mv_10_10_2024_2_a_label,07,person_07,train,train,1,person_07,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
in_straw_3push_diff_mv_11_07_2024_1_label,01,person_01,train,reserved_test,0,person_01,"Confirmed by Prabuddhi: annotation Class is a global person identity; Stage 1 uses identity-disjoint ReID splits. approved=0 for reserved_test means deliberately excluded, not invalid."
